4037;Silberfadenhose;1;5827;7284
4096;Grobes Gorillahaar;10;8080;8500
4096;Grobes Gorillahaar;6;3676;4596
4096;Grobes Gorillahaar;8;6464;6800
4347;Muster: Verstärkte Wollschultern;1;4425;4500
868;Inbrünstiger Hüter;1;56999;71249
7075;Erdenkern;2;100000;107000
4338;Magiestoff;20;76784;95980
4338;Magiestoff;20;67500;70000
4338;Magiestoff;20;47500;50000
4338;Magiestoff;20;47500;50000
4338;Magiestoff;20;47500;50000
4338;Magiestoff;20;41424;56080
4338;Magiestoff;20;41424;56080
4338;Magiestoff;20;41424;56080
4338;Magiestoff;20;67500;70000
4338;Magiestoff;20;76784;95980
4338;Magiestoff;20;76784;95980
4338;Magiestoff;20;76784;95980
4338;Magiestoff;20;77500;90000
4338;Magiestoff;20;77500;90000
942;Band der Eiseskälte;1;124999;144999
3914;Gesellenrucksack;1;31360;59200
3914;Gesellenrucksack;1;99500;125000
3928;Überragender Heiltrank;5;24000;35000
7068;Elementarfeuer;1;600;0
7068;Elementarfeuer;6;28588;35736
7068;Elementarfeuer;5;23004;28755
4354;Muster: Dunkellila Seidenhemd;1;1750350;1990000
2735;Die Grünen Hügel des Schlingendorntals - Seite 11;1;4373;4410
2735;Die Grünen Hügel des Schlingendorntals - Seite 11;1;4462;4500
4355;Muster: Eisiger Umhang;1;124391;139766
4038;Nachthauchrobe;1;10000;12500
7069;Elementarluft;1;4000;5000
7069;Elementarluft;1;4000;5000
7069;Elementarluft;4;11534;14418
7069;Elementarluft;2;11534;14418
7069;Elementarluft;10;150000;155000
7069;Elementarluft;10;150000;155000
7069;Elementarluft;1;15000;15500
7069;Elementarluft;10;150000;155000
2740;Die Grünen Hügel des Schlingendorntals - Seite 16;1;3056;3821
2734;Die Grünen Hügel des Schlingendorntals - Seite 10;1;562;2000
2734;Die Grünen Hügel des Schlingendorntals - Seite 10;1;1500;3000
2738;Die Grünen Hügel des Schlingendorntals - Seite 14;1;562;2000
2738;Die Grünen Hügel des Schlingendorntals - Seite 14;1;562;2000
2738;Die Grünen Hügel des Schlingendorntals - Seite 14;1;1043;1654
4349;Muster: Phönixhose;1;9999;12499
7070;Elementarwasser;1;11105;13882
7070;Elementarwasser;1;7900;9900
7070;Elementarwasser;1;600;0
7070;Elementarwasser;1;600;0
7070;Elementarwasser;1;7900;9900
4089;Querschlägerbüchse;1;44984;56231
856;Blaue Ledertasche;1;3912;3999
7046;Azurblaue Seidenhose;1;12241;14999
4339;Magiestoffballen;10;139999;149999
7072;Nagaschuppe;1;2088;2610
4353;Muster: Spinnengürtel;1;450;9000
4088;Schreckensklinge;1;55979;69974
4055;Insignienstiefel;1;22481;29000
810;Hammer des Nordwindes;1;194999;199999
